keys,uk,en
UI_NEW_GAME,Нова гра,New Game
UI_CONTINUE,Продовжити,Continue
UI_SETTINGS,Налаштування,Settings
UI_EXIT,Вийти,Exit
UI_CLOSE,Закрити,Close
UI_MUSIC_VOLUME,Музика,Music
UI_SFX_VOLUME,Звуки,Sounds
UI_END_TURN,Завершити хід,End Turn
UI_DAY,День,Day
UI_PROVISIONS,Провізії,Provisions
UI_THALERS,Талери,Thalers
UI_REPUTATION,Репутація,Reputation
UI_SQUAD,Загін,Squad
UI_INVENTORY,Інвентар,Inventory
UI_EQUIPMENT,Спорядження,Equipment
UI_SELL,Продати,Sell
UI_BUY,Купити,Buy
UI_EQUIP,Озброїти,Equip
UI_UNEQUIP,Зняти,Unequip
UI_HIRE,Найняти,Hire
UI_HEAL,Лікувати,Heal
UI_LEAVE,Покинути,Leave
UI_ATTACK,Атакувати,Attack
UI_AVOID,Уникнути,Avoid
UI_TALK,Говорити,Talk
UI_SKIP_TUTORIAL,Пропустити,Skip
UI_PAUSE,Пауза,Pause
UI_SPEED_NORMAL,Звичайна швидкість,Normal speed
UI_SPEED_FAST,Подвійна швидкість,Double speed
UI_WAIT,Чекати,Wait
UI_EMPTY_SLOT,— порожньо —,— empty —
UI_INVENTORY_EMPTY,Інвентар порожній,Inventory empty
BATTLE_STARTED,БИТВА ПОЧАЛАСЯ (Раунд %d),BATTLE STARTED (Round %d)
BATTLE_UNIT_TURN,Хід юніта: %s (%s),Unit turn: %s (%s)
BATTLE_VICTORY,ПЕРЕМОГА! Ворогів розбито!,VICTORY! Enemies defeated!
BATTLE_DEFEAT,ПОРАЗКА. Усі козаки загинули...,DEFEAT. All cossacks have fallen...
BATTLE_ROUND,РАУНД %d,ROUND %d
BATTLE_HIT,%s вдарив %s на %d HP,%s hit %s for %d HP
BATTLE_MISS,%s промахнувся по %s,%s missed %s
BATTLE_DEATH,%s загинув,%s has fallen
BATTLE_RECOVER,ВІДПОЧИНОК,REST
BATTLE_RIPOSTE,КОНТРУДАР!,RIPOSTE!
BATTLE_RALLY,ЗГУРТУВАННЯ!,RALLY!
BATTLE_RETREAT,ВІДСТУП!,RETREAT!
BATTLE_FLEE,ВТЕЧА!,FLEEING!
BATTLE_INTERCEPT,ПЕРЕХОПЛЕННЯ!,INTERCEPT!
BATTLE_SHOT,ПОСТРІЛ!,SHOT!
BATTLE_LOADED,Заряджено,Loaded
MORALE_CONFIDENT,Впевнений,Confident
MORALE_STEADY,Спокійний,Steady
MORALE_WAVERING,Вагається,Wavering
MORALE_BREAKING,Паніка,Breaking
MORALE_FLEEING,Втеча,Fleeing
MAP_TRADE,Торгівля,Trade
MAP_SHOP,Крамниця,Shop
MAP_HIRING,Найм,Hiring
MAP_PROVISIONS,Провізія,Provisions
MAP_HEALING,Лікування,Healing
MAP_ALL_HEALTHY,усі здорові,all healthy
MAP_INJURED,%d поран.,%d injured
MAP_LOCATION_CLEARED,Місце вже очищено.,Location already cleared.
MAP_SETTLEMENT_OPEN,Поселення відкрите для торгівлі.,Settlement open for trade.
MAP_NOT_ENOUGH,Недостатньо талерів!,Not enough thalers!
MAP_DESERTED,%s дезертирував з голоду!,%s deserted from hunger!
STAT_HP,Здоров'я,Health
STAT_AP,Очки дії,Action Points
STAT_STAMINA,Витривалість,Stamina
STAT_ARMOR,Броня,Armor
STAT_HELMET,Шолом,Helmet
STAT_MELEE,Ближній бій,Melee
STAT_RANGED,Дальній бій,Ranged
STAT_DEFENSE_MELEE,Захист (бл.),Defense (melee)
STAT_DEFENSE_RANGED,Захист (дал.),Defense (ranged)
STAT_INITIATIVE,Ініціатива,Initiative
STAT_RESOLVE,Рішучість,Resolve
STAT_LEVEL,Рівень,Level
FACTION_CROWN,Корона,Crown
FACTION_SICH,Січ,Sich
FACTION_ORDA,Орда,Horde
TEAM_COSSACK,Козак,Cossack
TEAM_ENEMY,Ворог,Enemy
HINT_MOVE,Клікніть на карту щоб рухатись. Доба проходить під час руху.,Click on the map to move. Day passes while moving.
HINT_ENEMY,Бандити! Атакуйте або спробуйте уникнути.,Bandits! Attack or try to avoid.
HINT_SETTLEMENT,У поселенні можна торгувати лікуватись і наймати козаків.,In settlement you can trade heal and hire cossacks.
HINT_WOUNDED,Поранені козаки. Лікуйте в найближчому поселенні.,Wounded cossacks. Heal at nearest settlement.
HINT_LOW_FOOD,Провізії закінчуються! Купіть у поселенні.,Provisions running low! Buy at settlement.
TUTORIAL_STEP1,Це ваш загін. Оберіть навичку атаки на панелі знизу.,This is your squad. Choose an attack skill on the panel below.
TUTORIAL_STEP2,Тепер клікніть на ворога в зоні дії щоб атакувати.,Now click on an enemy in the action zone to attack.
TUTORIAL_STEP3,Влучили! Залишились очки дій — можна рухатись або атакувати знову.,Hit! Action points remain — you can move or attack again.
TUTORIAL_STEP4,Тепер ходить ворог. Спостерігайте.,Now the enemy moves. Watch.
TUTORIAL_STEP5,Ваш хід! Рухайтесь клікнувши на жовту клітинку атакуйте ворогів.,Your turn! Move by clicking yellow tile and attack enemies.
COMBAT_HINT_FIRST,Клікніть на ворога в зоні атаки щоб вдарити. ПКМ скасовує навичку.,Click on enemy in attack zone to strike. RMB cancels skill.
COMBAT_HINT_STAMINA,Витривалість низька — використайте Відпочинок для відновлення.,Stamina low — use Rest to recover.
COMBAT_HINT_MORALE,Мораль падає! Згуртування (Rally) може допомогти.,Morale dropping! Rally can help.
COMBAT_HINT_ZOC,Вихід із зони контролю ворога дає йому безкоштовну атаку.,Leaving enemy control zone gives them a free attack.
COMBAT_HINT_RELOAD,Після пострілу мушкет треба перезарядити.,After shooting the musket must be reloaded.
TERRAIN_BUSHES,Чагарники,Bushes
TERRAIN_SWAMP,Болото,Swamp
TERRAIN_WATER,Брід,Ford
TERRAIN_ROCKS,Каміння,Rocks
TERRAIN_TREES,Дерево,Tree
LOC_TYPE_BANDIT_CAMP,Табір розбійників,Bandit camp
LOC_TYPE_TATAR_CAMP,Татарський кіш,Tatar camp
LOC_TYPE_CROWN_OUTPOST,Прикордонний форпост,Border outpost
LOC_TYPE_RUINS,Руїни,Ruins
LOC_TYPE_TOWN,Місто,Town
LOC_TYPE_VILLAGE,Село,Village
ENEMY_BANDIT,Бандит,Bandit
ENEMY_BANDIT_LEADER,Ватажок,Leader
ENEMY_TATAR,Татарин,Tatar
ENEMY_TATAR_HEAVY,Важкий татарин,Heavy tatar
ENEMY_JANISSARY,Яничар,Janissary
ENEMY_REIESTR,Реєстровий,Registered
UI_SKILLS,Навички,Skills
UI_WAIT_TOOLTIP,Пропустити хід походити пізніше.,Skip turn act later.
BATTLE_MISS_SHORT,ПРОМАХ,MISS
BATTLE_HEADSHOT,ГОЛОВА!,HEADSHOT!
BATTLE_RETREAT_TACTICAL,ВІДХІД,RETREAT
SLOT_TRINKET,Прикраса,Trinket
SLOT_AMMO,Набої,Ammo
SLOT_SHIELD,Щит,Shield
SLOT_BELT,Пояс,Belt
STAT_MORALE,Мораль,Morale
SLOT_WEAPON,Зброя,Weapon
ENCOUNTER_REWARD,Здобич: ~%d талерів,Loot: ~%d thalers
LOC_ABANDONED_RUINS,Занедбані руїни,Abandoned Ruins
LOC_ABANDONED_APIARY,Покинута пасіка,Abandoned Apiary
LOC_BANDIT_CAVE,Печера розбійників,Bandit Cave
LOC_MURZA_CAMP,Ставка мурзи,Murza's Camp
LOC_SCYTHIAN_TOMB,Скіфська могила,Scythian Tomb
LOC_COSSACK_CEMETERY,Козацький цвинтар,Cossack Cemetery
LOC_TATAR_PATROL,Татарський дозор,Tatar Patrol
LOC_FORTRESS,Фортеця,Fortress
LOC_RUINED_CHURCH,Зруйнований костел,Ruined Church
LOC_PAGAN_RAVINE,Яр язичників,Pagan Ravine
CLEARED_BANDIT_CAMP,"Табір розбійників розгромлено.\nМісце спустіло.","Bandit camp destroyed.\nThe place is deserted."
CLEARED_TATAR_CAMP,"Татарський кіш знищено.\nВижиті відступили.","Tatar camp destroyed.\nSurvivors retreated."
CLEARED_RUINS,"Руїни обшукано.\nТут більше нема чого шукати.","Ruins searched.\nNothing left to find."
CLEARED_CROWN_OUTPOST,"Застава була взята штурмом.\nВояки розбіглися.","Outpost stormed.\nSoldiers scattered."
CLEARED_FORTRESS,"Фортецю підкорено.\nОборонці капітулювали.","Fortress conquered.\nDefenders surrendered."
FACTION_ORDA_PLURAL,Татари,Tatars
FACTION_CROWN_PLURAL,Реєстрові,Registered
FACTION_SICH_PLURAL,Запорожці,Zaporozhians
FACTION_BANDITS,Бандити,Bandits
UI_LANGUAGE,Мова,Language
GAME_TITLE,КОЗАЦЬКА ВАРТА,COSSACK GUARD
MAP_OPEN_FIELD,Відкрите поле,Open Field
MAP_DISCOVERED,Виявлено локацію: %s!,Location discovered: %s!
ORIGIN_UNKNOWN,Невідоме походження,Unknown origin
DAMAGE_SLASH,Ріжуча,Slashing
DAMAGE_PIERCE,Колюча,Piercing
DAMAGE_BLUNT,Дробяча,Blunt
DAMAGE_FIRE,Вогняна,Fire
DAMAGE_RANGED,Дальня,Ranged
SKILL_TOOLTIP_TYPE,Тип: %s,Type: %s
SKILL_TOOLTIP_HIT,Точність: %+d%%,Accuracy: %+d%%
SKILL_TOOLTIP_HEAD_BONUS,Шанс в голову: %+d%%,Head chance: %+d%%
SKILL_TOOLTIP_GUARANTEED_HEAD,Гарантований удар в голову!,Guaranteed headshot!
Без зброї,Без зброї,No Weapon
Козацька Шабля,Козацька Шабля,Cossack Saber
Яничарка,Яничарка,Janissary Musket
Піка,Піка,Pike
Бердиш (2H),Бердиш (2H),Bardiche (2H)
Бойова Сокира,Бойова Сокира,Battle Axe
Пластунський лук,Пластунський лук,Scout Bow
Кинджал (Засапожний),Кинджал (Засапожний),Dagger
Обушок / Ціп,Обушок / Ціп,Flail
"Мушкет «Яничарка»","Мушкет «Яничарка»",Janissary Musket
Сулиця (дротик),Сулиця (дротик),Javelin
Спис,Спис,Spear
Чекан / Клевець,Чекан / Клевець,War Hammer
Удар шаблею,Удар шаблею,Saber Strike
Відповідь,Відповідь,Riposte
Постріл з лука,Постріл з лука,Bow Shot
Проламати броню,Проламати броню,Break Armor
Удар чеканом,Удар чеканом,Hammer Strike
Обушок,Обушок,Mace
Постріл,Постріл,Shot
Прокол,Прокол,Puncture
Круговий розмах,Круговий розмах,Round Swing
Стіна списів,Стіна списів,Spear Wall
Розбити щит,Розбити щит,Split Shield
Замах,Замах,Swing
Метання,Метання,Throw
Випад,Випад,Thrust
Відпочинок,Відпочинок,Rest
Перезарядити,Перезарядити,Reload
Укол списом,Укол списом,Spear Thrust
Важкий удар,Важкий удар,Heavy Strike
Контрудар,Контрудар,Riposte
Згуртування,Згуртування,Rally
Удар,Удар,Strike
Швидкий рубаючий удар.,Швидкий рубаючий удар.,Fast slashing strike.
Бойова стійка: контратака при промаху ворога.,Бойова стійка: контратака при промаху ворога.,Combat stance: counterattack on enemy miss.
Тихий постріл. Жодного ризику осічки.,Тихий постріл. Жодного ризику осічки.,Silent shot. No risk of misfire.
"Потужний удар, що максимально руйнує обладунок.","Потужний удар, що максимально руйнує обладунок.",Powerful strike that maximally damages armor.
"Дробячий удар, що ігнорує 70% броні.","Дробячий удар, що ігнорує 70% броні.",Crushing blow that ignores 70% armor.
